scenario,alpha,p,K,U_j,k,service_radius_m,status,runtime_seconds,reported_gap,n_assignment_arcs,n_positive_assignments,distance_objective,absolute_mean_distance_m,M1_efficiency_cost_pct,M2_tail_p90_m,M3_deprivation_accessibility_gap_m,mean_distance_most_deprived_m,mean_distance_least_deprived_m,M4_equity_allocation_ratio,capacity_share_most_deprived,baseline_demand_share_most_deprived,D0_weighted_own_assignment_share,n_lsoas_with_x_j_gt_0,assignment_sum_error,budget_error,maximum_capacity_violation
A,0.0,5000,13.167603884987075,150,40,,Optimal,4.127411207999103,0.0,199760,4994,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07185604230825259,1.0,34,0.0,0.0,4.935064922051424e-06
C,0.3,5000,13.167603884987075,150,40,,Optimal,3.57376129203476,0.0,199760,4994,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07185604230825259,1.0,34,0.0,0.0,5.000000001587068e-06
