scenario,slack_frac,M1_avg_dist_m,M3_imd_gap,r_xj_income
A,0.13451097959920597,319.7770985177988,0.14202261238355918,-0.07821794022494845
B,0.1345570932797215,317.1645590323951,0.134065143235923,-0.08958988411052377
C,0.13465083926911625,313.72623527854677,0.13518884683616395,-0.06129493159755128
D,0.13474483984852015,311.2289678942185,0.12129371561765978,-0.07428367695301652
