K_label,K_value,status,slack_total,slack_frac,objective,n_lsoa_with_xj_gt_0,M1_avg_dist_m,M2_coverage_800m,M3_imd_gap,M4_gini
K0,16.07465578309164,Optimal,82950.1033520102,0.23872610811801595,43693241.17407498,981,128.5976834607049,0.961063001996515,0.10891427737615034,0.20586037969543314
0.5*K0,8.03732789154582,Optimal,169175.6843435085,0.4868788715083502,81894401.9292576,427,240.51473593965207,0.9083005322204631,0.08718896103119411,0.2979379062319731
2*K0,32.14931156618328,Not Solved,0.0,0.0,3984016.1827983516,2098,11.480349760781662,1.0,0.0,0.04728483832605726
