lsoa_code,e_i,u_i,V_i,london_income_decile,mismatch_category
E01002782,2,0.0090630787035108,236.99999999999997,1,Apparently adequate
E01002783,0,,262.0,2,"Low-demand, no provision"
E01002784,5,0.0175768132708333,302.0,2,Saturated / potentially underprovided
E01002785,25,0.0094823148144135,421.99999999999994,8,Apparently adequate
E01002786,5,0.0118642361107253,314.99999999999994,2,Apparently adequate
E01002787,1,0.0157798996909722,233.0,4,Apparently adequate
E01002788,7,0.004930031966132,394.99999999999994,7,Apparently adequate
E01002789,14,0.0126702904536761,488.0,8,Apparently adequate
E01002790,2,0.0111114004623842,276.99999999999994,2,Apparently adequate
E01002791,2,0.0081599151234567,335.99999999999994,7,Apparently adequate
E01002792,13,0.0141128027061669,347.0,7,Apparently adequate
E01002793,6,0.0503965727867476,264.99999999999994,3,Saturated / potentially underprovided
E01002794,8,0.0043172743053144,338.99999999999994,7,Apparently adequate
E01002795,5,0.0182455246911265,328.99999999999994,5,Saturated / potentially underprovided
E01002796,9,0.0148319401573859,225.99999999999997,5,Apparently adequate
E01002797,1,0.0222037037033179,254.0,3,Saturated / potentially underprovided
E01002798,3,0.007741126542824,469.00000000000006,7,Apparently adequate
E01002799,3,0.0095695730450102,283.0,3,Apparently adequate
E01002800,2,0.0361423611100501,241.99999999999991,5,Saturated / potentially underprovided
E01002801,0,,303.0,7,"Low-demand, no provision"
E01002802,14,0.0199245342808641,350.99999999999994,6,Saturated / potentially underprovided
E01002804,0,,272.0,2,"Low-demand, no provision"
E01002805,1,0.0108850308636188,245.0,5,Apparently adequate
E01002806,6,0.0154449588471257,381.99999999999994,5,Apparently adequate
E01002807,5,0.0112538194439429,275.99999999999994,1,Apparently adequate
E01002808,1,0.023160879628858,376.0,4,Saturated / potentially underprovided
E01002809,4,0.0429886188262924,321.0,5,Saturated / potentially underprovided
E01002810,12,0.0124997427980002,264.0,4,Apparently adequate
E01002811,0,,329.0,2,"Low-demand, no provision"
E01002812,2,0.0182731481474729,335.99999999999994,10,Saturated / potentially underprovided
E01002813,17,0.0143971722942084,506.0,10,Apparently adequate
E01002814,1,0.0,509.99999999999994,4,Apparently adequate
E01002815,2,0.0133315972214506,237.0,8,Apparently adequate
E01002816,4,0.0206786747678915,245.99999999999997,10,Saturated / potentially underprovided
E01002817,9,0.0112938528803583,443.0,10,Apparently adequate
E01002818,12,0.031688866382925,320.0,10,Saturated / potentially underprovided
E01002819,7,0.019126984125744,326.0,10,Saturated / potentially underprovided
E01002821,8,0.033552035107036,331.0,10,Saturated / potentially underprovided
E01002823,9,0.0093304612480066,305.0,4,Apparently adequate
E01002824,9,0.0222919881681027,369.00000000000006,10,Saturated / potentially underprovided
E01002825,8,0.0391186583705873,541.0,10,Saturated / potentially underprovided
E01002826,4,0.0076409143516589,310.0,10,Apparently adequate
E01002827,11,0.0161715418061167,506.0,10,Apparently adequate
E01002828,6,0.0079614197526363,360.0,9,Apparently adequate
E01002829,7,0.0196687334650848,303.99999999999994,4,Saturated / potentially underprovided
E01002830,10,0.0103236882711419,304.99999999999994,4,Apparently adequate
E01002831,9,0.0111889789089934,336.99999999999994,2,Apparently adequate
E01002832,6,0.0322328960895061,316.0,4,Saturated / potentially underprovided
E01002833,9,0.0138499228391632,277.0,8,Apparently adequate
E01002834,10,0.0094693865737654,273.0,9,Apparently adequate
E01002835,10,0.016128192514728,309.99999999999994,10,Apparently adequate
E01002836,6,0.0183736175405735,294.0,9,Saturated / potentially underprovided
E01002837,5,0.0293514660486882,312.0,10,Saturated / potentially underprovided
E01002839,4,0.0187432484561149,251.99999999999991,8,Saturated / potentially underprovided
