lsoa_code,lsoa_name,ej,seff,ubar_i,has_evse_i,desert_condition
E01001239,Ealing 015C,2,1.661309523809524,0.27688492063492065,True,normal
E01001246,Ealing 015D,3,0.0003968253968253,0.0001322751322751,True,B_underutilised
E01001247,Ealing 015E,1,0.0,0.0,True,B_underutilised
E01034026,Ealing 015F,0,0.0,,False,A_true_desert
E01034027,Ealing 015G,1,0.7114087301587302,0.3557043650793651,True,normal
E01001210,Ealing 016A,2,0.0,0.0,True,B_underutilised
E01001282,Ealing 016B,2,0.00039682539682534923,0.00019841269841267461,True,B_underutilised
E01001283,Ealing 016C,2,0.0,0.0,True,B_underutilised
E01001285,Ealing 016D,3,0.0,0.0,True,B_underutilised
E01001286,Ealing 016E,0,0.0,,False,A_true_desert
E01001287,Ealing 016F,1,0.025,0.025,True,normal
E01001294,Ealing 017A,0,0.0,,False,A_true_desert
E01001295,Ealing 017B,0,0.0,,False,A_true_desert
E01001296,Ealing 017C,0,0.0,,False,A_true_desert
E01001297,Ealing 017D,2,0.0,0.0,True,B_underutilised
E01001298,Ealing 017E,1,0.6247023809523808,0.20823412698412694,True,normal
E01001204,Ealing 018A,2,0.0,0.0,True,B_underutilised
E01001205,Ealing 018B,1,0.0,0.0,True,B_underutilised
E01001206,Ealing 018C,2,0.1121031746031746,0.0560515873015873,True,normal
E01001207,Ealing 018D,3,0.6201388888888888,0.06897045855379186,True,normal
E01001208,Ealing 018E,2,0.1325396825396824,0.022089947089947066,True,normal
E01001212,Ealing 018F,1,0.3394841269841269,0.16974206349206344,True,normal
E01001224,Ealing 019B,3,1.0728174603174603,0.17880291005291005,True,normal
E01001226,Ealing 019C,1,0.0,0.0,True,B_underutilised
E01001227,Ealing 019D,3,0.000297619047619,9.920634920633334e-05,True,B_underutilised
E01001228,Ealing 019E,2,9.92063492063492e-05,4.96031746031746e-05,True,B_underutilised
E01034028,Ealing 019F,1,0.0,0.0,True,B_underutilised
E01034029,Ealing 019G,2,0.0004960317460317,0.00024801587301585,True,B_underutilised
E01001195,Ealing 021A,2,0.7985119047619045,0.12344990079365076,True,normal
E01001197,Ealing 021B,2,0.0,0.0,True,B_underutilised
E01001198,Ealing 021C,1,0.0,0.0,True,B_underutilised
E01001199,Ealing 021D,5,0.00039682539682534923,7.936507936506985e-05,True,B_underutilised
E01001284,Ealing 022A,2,0.1988095238095237,0.04970238095238093,True,normal
E01001288,Ealing 022B,0,0.0,,False,A_true_desert
E01001289,Ealing 022C,1,0.753769841269841,0.18844246031746026,True,normal
E01001290,Ealing 022D,2,0.7123015873015873,0.17807539682539683,True,normal
E01001213,Ealing 023A,0,0.0,,False,A_true_desert
E01001214,Ealing 023B,0,0.0,,False,A_true_desert
E01001215,Ealing 023C,0,0.0,,False,A_true_desert
E01001216,Ealing 023D,2,1.1575396825396824,0.1929232804232804,True,normal
E01001361,Ealing 023E,2,0.0,0.0,True,B_underutilised
E01001240,Ealing 024A,2,0.0,0.0,True,B_underutilised
E01001241,Ealing 024B,3,0.0,0.0,True,B_underutilised
E01001242,Ealing 024C,1,0.0,0.0,True,B_underutilised
E01001243,Ealing 024D,2,0.0,0.0,True,B_underutilised
E01001244,Ealing 024E,1,0.3341269841269841,0.16706349206349205,True,normal
E01001245,Ealing 024F,4,0.0,0.0,True,B_underutilised
E01001200,Ealing 025A,3,9.92063492063492e-05,3.306878306878307e-05,True,B_underutilised
E01001201,Ealing 025B,1,0.0004960317460317,0.0004960317460317,True,B_underutilised
E01001202,Ealing 025C,4,0.0013888888888887,0.000347222222222175,True,B_underutilised
E01001203,Ealing 025D,3,0.42103174603174587,0.07020502645502641,True,normal
E01001351,Ealing 025E,2,0.0,0.0,True,B_underutilised
E01001359,Ealing 026A,2,0.7024801587301587,0.17562003968253967,True,normal
E01001360,Ealing 026B,1,0.0,0.0,True,B_underutilised
E01001362,Ealing 026C,1,0.0,0.0,True,B_underutilised
E01001363,Ealing 026D,2,0.0140873015873015,0.00704365079365075,True,normal
E01001364,Ealing 026E,0,0.0,,False,A_true_desert
E01001365,Ealing 026F,1,0.0,0.0,True,B_underutilised
E01001231,Ealing 027A,3,0.8447420634920635,0.14079034391534392,True,normal
E01001234,Ealing 027B,5,0.4543650793650792,0.045446428571428554,True,normal
E01001350,Ealing 027C,1,0.0,0.0,True,B_underutilised
E01001352,Ealing 027D,4,0.0839285714285713,0.020982142857142824,True,normal
E01001354,Ealing 027E,4,9.92063492063492e-05,2.48015873015873e-05,True,B_underutilised
E01001249,Ealing 028A,0,0.0,,False,A_true_desert
E01001250,Ealing 028B,2,0.934722222222222,0.1559193121693121,True,normal
E01001255,Ealing 028C,1,0.0001984126984126,0.0001984126984126,True,B_underutilised
E01001383,Ealing 028D,3,1.3001984126984127,0.1728615520282187,True,normal
E01001388,Ealing 028E,3,0.0006944444444444,0.00023148148148146666,True,B_underutilised
E01001389,Ealing 028F,2,0.9081349206349205,0.22708333333333328,True,normal
E01001219,Ealing 029A,0,0.0,,False,A_true_desert
E01001220,Ealing 029B,0,0.0,,False,A_true_desert
E01001334,Ealing 029C,1,0.0003968253968253,0.0003968253968253,True,B_underutilised
E01001337,Ealing 029D,0,0.0,,False,A_true_desert
E01001338,Ealing 029E,0,0.0,,False,A_true_desert
E01001339,Ealing 029F,1,0.5569444444444445,0.27847222222222223,True,normal
E01001340,Ealing 029G,1,0.0,0.0,True,B_underutilised
E01001251,Ealing 030A,1,0.7516865079365078,0.2505621693121693,True,normal
E01001252,Ealing 030B,2,0.0,0.0,True,B_underutilised
E01001253,Ealing 030C,3,0.4225198412698412,0.07041997354497354,True,normal
E01001254,Ealing 030D,0,0.0,,False,A_true_desert
E01001229,Ealing 031A,2,0.0,0.0,True,B_underutilised
E01001230,Ealing 031B,1,0.275892857142857,0.09196428571428567,True,normal
E01001232,Ealing 031C,2,0.1237103174603173,0.06185515873015865,True,normal
E01001233,Ealing 031D,4,0.41309523809523785,0.05178571428571425,True,normal
E01001237,Ealing 031E,1,0.000297619047619,0.000297619047619,True,B_underutilised
E01001386,Ealing 031F,1,0.42261904761904745,0.21130952380952372,True,normal
E01001303,Ealing 032A,5,1.080753968253968,0.1080753968253968,True,normal
E01001382,Ealing 032B,5,0.14087301587301576,0.02817460317460315,True,normal
E01001384,Ealing 032C,1,9.92063492063492e-05,9.92063492063492e-05,True,B_underutilised
E01001385,Ealing 032D,3,0.14067460317460312,0.023445767195767186,True,normal
E01001387,Ealing 032E,4,1.3924603174603174,0.15202959656084655,True,normal
E01001353,Ealing 033A,1,0.5919642857142856,0.19732142857142854,True,normal
E01001355,Ealing 033B,2,0.4832341269841267,0.08067129629629623,True,normal
E01001356,Ealing 033C,0,0.0,,False,A_true_desert
E01001357,Ealing 033D,3,0.6757936507936507,0.07508818342151675,True,normal
E01001358,Ealing 033E,0,0.0,,False,A_true_desert
E01001375,Ealing 034A,6,0.0004960317460316,8.267195767193333e-05,True,B_underutilised
E01001377,Ealing 034B,8,0.01855158730158705,0.002318948412698381,True,normal
E01001379,Ealing 034C,7,0.2452380952380949,0.011763038548752797,True,normal
E01001381,Ealing 034D,1,0.9346230158730158,0.31154100529100526,True,normal
E01001248,Ealing 035A,3,0.4947420634920632,0.04938822751322747,True,normal
E01001299,Ealing 035B,3,0.16230158730158725,0.027066798941798934,True,normal
E01001305,Ealing 035C,5,0.8448412698412695,0.06828703703703701,True,normal
E01001306,Ealing 035D,1,0.0,0.0,True,B_underutilised
E01001333,Ealing 038A,2,0.0158730158730158,0.0079365079365079,True,normal
E01001335,Ealing 038B,2,0.171626984126984,0.02860449735449733,True,normal
E01001336,Ealing 038C,1,0.1635912698412698,0.0817956349206349,True,normal
E01001369,Ealing 038D,1,0.0,0.0,True,B_underutilised
E01001300,Ealing 039A,0,0.0,,False,A_true_desert
E01001301,Ealing 039B,2,0.0,0.0,True,B_underutilised
E01001302,Ealing 039C,2,0.0,0.0,True,B_underutilised
E01001304,Ealing 039D,6,0.009722222222222,0.0016203703703703335,True,B_underutilised
E01001374,Ealing 040A,1,0.2773809523809523,0.13869047619047614,True,normal
E01001376,Ealing 040B,4,0.0004960317460316,0.0001240079365079,True,B_underutilised
E01001380,Ealing 040C,4,0.6520833333333331,0.08151041666666664,True,normal
E01032572,Ealing 040D,2,0.0,0.0,True,B_underutilised
E01001223,Ealing 041B,2,9.92063492063492e-05,4.96031746031746e-05,True,B_underutilised
E01001225,Ealing 041A,2,0.7987103174603175,0.19967757936507938,True,normal
E01001273,Ealing 041C,2,0.0102182539682539,0.00510912698412695,True,normal
E01001274,Ealing 041E,1,0.0,0.0,True,B_underutilised
E01001275,Ealing 041D,2,0.8828373015873016,0.2919394841269841,True,normal
