lsoa_code,lsoa_name,e_i,S_eff_i,U_i,n_evse,n_active_evse,n_active_locations,has_evse_i
E01001972,Haringey 004C,3,0.05847042180799897,0.019490140602666323,7,7,3,True
E01001973,Haringey 004D,1,0.004809220678626543,0.004809220678626543,2,1,1,True
E01001974,Haringey 001C,1,0.014228202159915125,0.014228202159915125,2,2,1,True
E01001975,Haringey 001D,1,0.00205420524691358,0.00205420524691358,2,1,1,True
E01001976,Haringey 011A,0,0.0,,0,0,0,False
E01001977,Haringey 011B,1,0.014854745370177468,0.014854745370177468,2,2,1,True
E01001978,Haringey 011C,0,0.0,,0,0,0,False
E01001979,Haringey 011D,0,0.0,,0,0,0,False
E01001980,Haringey 018A,1,0.01622029320958719,0.01622029320958719,4,4,1,True
E01001981,Haringey 018B,0,0.0,,0,0,0,False
E01001982,Haringey 018C,0,0.0,,0,0,0,False
E01001983,Haringey 018D,1,0.0442085262339892,0.0442085262339892,2,2,1,True
E01001984,Haringey 033A,0,0.0,,0,0,0,False
E01001985,Haringey 033B,1,0.028077642746045524,0.028077642746045524,4,4,1,True
E01001986,Haringey 034A,1,0.0,0.0,2,0,0,True
E01001987,Haringey 033C,1,0.012637474279192387,0.012637474279192387,3,3,1,True
E01001988,Haringey 034B,3,0.10345698302121914,0.034485661007073044,4,4,3,True
E01001989,Haringey 033D,2,0.043360339504050924,0.021680169752025462,4,4,2,True
E01001990,Haringey 034C,2,0.05530642360792824,0.02765321180396412,8,8,2,True
E01001991,Haringey 017A,0,0.0,,0,0,0,False
E01001992,Haringey 017B,0,0.0,,0,0,0,False
E01001993,Haringey 017C,1,0.04442013888695988,0.04442013888695988,2,2,1,True
E01001994,Haringey 030A,1,0.007006751543016975,0.007006751543016975,4,4,1,True
E01001995,Haringey 017D,0,0.0,,0,0,0,False
E01001996,Haringey 014C,1,0.0,0.0,2,0,0,True
E01001997,Haringey 014D,2,0.08356192129166667,0.04178096064583334,4,4,2,True
E01001998,Haringey 023A,2,0.05552835647974537,0.027764178239872685,6,6,2,True
E01001999,Haringey 023B,1,0.01675520833285108,0.01675520833285108,4,4,1,True
E01002000,Haringey 031A,2,0.04926543209664352,0.02463271604832176,4,4,2,True
E01002001,Haringey 031B,0,0.0,,0,0,0,False
E01002002,Haringey 031C,2,0.016400077159915122,0.008200038579957561,4,3,2,True
E01002003,Haringey 023C,1,0.03869315843531379,0.03869315843531379,3,3,1,True
E01002004,Haringey 023D,0,0.0,,0,0,0,False
E01002005,Haringey 035A,2,0.1487440200493827,0.07437201002469135,7,2,1,True
E01002006,Haringey 035B,1,0.012542245369791667,0.012542245369791667,2,2,1,True
E01002007,Haringey 035C,3,0.05961612654118441,0.019872042180394803,6,6,3,True
E01002008,Haringey 030B,2,0.045727623455825615,0.022863811727912808,4,4,2,True
E01002009,Haringey 035D,1,0.02193817515345293,0.02193817515345293,4,4,1,True
E01002010,Haringey 030C,1,0.0038605324072145063,0.0038605324072145063,2,1,1,True
E01002011,Haringey 030D,3,0.16498611109915123,0.054995370366383745,5,5,3,True
E01002013,Haringey 022A,1,0.039633101849922844,0.039633101849922844,2,2,1,True
E01002014,Haringey 020B,2,0.03392637602758487,0.016963188013792437,5,5,2,True
E01002015,Haringey 020C,0,0.0,,0,0,0,False
E01002016,Haringey 028A,0,0.0,,0,0,0,False
E01002017,Haringey 028B,0,0.0,,0,0,0,False
E01002018,Haringey 020D,1,0.01656134259201389,0.01656134259201389,2,2,1,True
E01002019,Haringey 022B,0,0.0,,0,0,0,False
E01002020,Haringey 021A,0,0.0,,0,0,0,False
E01002021,Haringey 022C,1,0.01280799897029321,0.01280799897029321,3,2,1,True
E01002022,Haringey 021B,4,0.19373945471823562,0.048434863679558904,7,5,3,True
E01002023,Haringey 021C,0,0.0,,0,0,0,False
E01002024,Haringey 022D,0,0.0,,0,0,0,False
E01002025,Haringey 021D,2,0.05446199845428241,0.027230999227141204,4,4,2,True
E01002026,Haringey 016A,1,0.0,0.0,3,0,0,True
E01002027,Haringey 010A,1,0.011231481481481481,0.011231481481481481,1,1,1,True
E01002028,Haringey 010B,1,0.037467592591242285,0.037467592591242285,2,2,1,True
E01002029,Haringey 016B,1,0.0,0.0,2,0,0,True
E01002030,Haringey 016C,4,0.0,0.0,72,0,0,True
E01002031,Haringey 016D,2,0.08157355966718108,0.04078677983359054,5,5,2,True
E01002032,Haringey 010C,0,0.0,,0,0,0,False
E01002033,Haringey 010D,3,0.1548350694392361,0.051611689813078704,6,6,3,True
E01002034,Haringey 037A,1,0.024146026233796296,0.024146026233796296,2,2,1,True
E01002036,Haringey 002A,1,0.01767997685146605,0.01767997685146605,2,2,1,True
E01002037,Haringey 002B,0,0.0,,0,0,0,False
E01002038,Haringey 037B,0,0.0,,0,0,0,False
E01002039,Haringey 002C,0,0.0,,0,0,0,False
E01002040,Haringey 002D,0,0.0,,0,0,0,False
E01002041,Haringey 037C,0,0.0,,0,0,0,False
E01002042,Haringey 027A,1,0.02997010030825617,0.02997010030825617,2,2,1,True
E01002043,Haringey 026A,0,0.0,,0,0,0,False
E01002044,Haringey 027B,0,0.0,,0,0,0,False
E01002045,Haringey 026B,0,0.0,,0,0,0,False
E01002046,Haringey 026C,0,0.0,,0,0,0,False
E01002047,Haringey 027C,1,0.023971064813850307,0.023971064813850307,2,1,1,True
E01002048,Haringey 027D,0,0.0,,0,0,0,False
E01002049,Haringey 026D,0,0.0,,0,0,0,False
E01002050,Haringey 029A,3,0.013519290123263888,0.0045064300410879625,6,5,3,True
E01002051,Haringey 029B,0,0.0,,0,0,0,False
E01002052,Haringey 029C,3,0.0469699074064429,0.01565663580214763,4,3,3,True
E01002053,Haringey 032A,1,0.030149305554398147,0.030149305554398147,4,3,1,True
E01002054,Haringey 032B,0,0.0,,0,0,0,False
E01002055,Haringey 029D,1,0.0,0.0,2,0,0,True
E01002056,Haringey 032C,0,0.0,,0,0,0,False
E01002057,Haringey 032D,2,0.1731493055451389,0.08657465277256945,2,1,1,True
E01002058,Haringey 031D,0,0.0,,0,0,0,False
E01002059,Haringey 028C,0,0.0,,0,0,0,False
E01002060,Haringey 028D,1,0.04586902005999228,0.04586902005999228,2,2,1,True
E01002061,Haringey 036A,4,0.26264303625434027,0.06566075906358507,7,7,4,True
E01002062,Haringey 034D,1,0.041990354937885804,0.041990354937885804,1,1,1,True
E01002063,Haringey 036B,1,0.007018711419463735,0.007018711419463735,4,3,1,True
E01002064,Haringey 036C,1,0.020874421295138886,0.020874421295138886,2,2,1,True
E01002065,Haringey 036D,1,0.021878954474151235,0.021878954474151235,4,4,1,True
E01002066,Haringey 025A,1,0.003867862653935185,0.003867862653935185,2,2,1,True
E01002067,Haringey 024A,1,0.03298128857889661,0.03298128857889661,2,2,1,True
E01002068,Haringey 025B,2,0.02365277777662037,0.011826388888310184,4,2,1,True
E01002069,Haringey 024B,1,0.020593942900655866,0.020593942900655866,2,2,1,True
E01002070,Haringey 024C,4,0.12812744340850052,0.03203186085212513,7,7,4,True
E01002071,Haringey 025C,2,0.019482896089441874,0.009741448044720937,5,3,2,True
E01002072,Haringey 025D,1,0.00804861111111111,0.00804861111111111,2,2,1,True
E01002073,Haringey 024D,0,0.0,,0,0,0,False
E01002074,Haringey 012A,1,0.03459323559593622,0.03459323559593622,3,3,1,True
E01002075,Haringey 015A,1,0.017084394289737653,0.017084394289737653,4,4,1,True
E01002076,Haringey 015B,1,0.06298784722029321,0.06298784722029321,2,2,1,True
E01002077,Haringey 012B,0,0.0,,0,0,0,False
E01002078,Haringey 015C,1,0.025587384258391205,0.025587384258391205,4,4,1,True
E01002079,Haringey 012C,0,0.0,,0,0,0,False
E01002081,Haringey 012D,1,0.020607253085262345,0.020607253085262345,2,2,1,True
E01002082,Haringey 013A,0,0.0,,0,0,0,False
E01002083,Haringey 019A,0,0.0,,0,0,0,False
E01002084,Haringey 019B,1,0.130269965275897,0.130269965275897,8,3,1,True
E01002085,Haringey 019C,1,0.03021084104841821,0.03021084104841821,2,2,1,True
E01002086,Haringey 013B,0,0.0,,0,0,0,False
E01002087,Haringey 019D,0,0.0,,0,0,0,False
E01002088,Haringey 013C,0,0.0,,0,0,0,False
E01002089,Haringey 013D,0,0.0,,0,0,0,False
E01002090,Haringey 005A,1,0.0,0.0,2,0,0,True
E01002091,Haringey 006A,0,0.0,,0,0,0,False
