scenario,alpha,total_recognised_demand,change_from_alpha0_pct,mean_lsoa_demand,maximum_lsoa_demand
A,0.0,347150.7088237993,0.0,69.51355803440113,180.30681818181816
B,0.1,355754.5116841286,2.478405672706341,71.23638600002575,182.16397840909087
C,0.3,372962.1174047873,7.435217018119045,74.68204193127498,185.87829886363633
D,0.5,390169.7231254459,12.392028363531725,78.1276978625242,189.59261931818182
