lsoa_code,lsoa_name,driving_age_pop,income_score,income_decile,D_A,D_B,D_C,D_D
E01000060,Barking and Dagenham 006B,1539,0.407,2,190.836,198.60302520000002,214.13707560000003,229.67112600000002
E01000061,Barking and Dagenham 006C,1354,0.69,1,167.89600000000002,179.480824,202.65047200000004,225.82012
E01000062,Barking and Dagenham 006D,1656,0.356,3,205.34400000000002,212.65424640000003,227.27473920000003,241.89523200000002
E01000063,Barking and Dagenham 004A,1303,0.326,3,161.572,166.8392472,177.3737416,187.90823600000002
E01000064,Barking and Dagenham 006E,1710,0.385,2,212.04000000000002,220.20354,236.53062,252.8577
E01000065,Barking and Dagenham 007A,1510,0.471,1,187.24,196.059004,213.697012,231.33502000000001
E01000066,Barking and Dagenham 011A,1860,0.258,4,230.64000000000001,236.59051200000002,248.491536,260.39256
E01000067,Barking and Dagenham 011B,1651,0.31,3,204.72400000000002,211.070444,223.76333200000002,236.45622000000003
E01000068,Barking and Dagenham 016E,1436,0.269,4,178.06400000000002,182.8539216,192.43376480000003,202.01360800000003
E01000069,Barking and Dagenham 011C,1623,0.172,6,201.252,204.71353440000004,211.63660320000002,218.55967200000003
E01000070,Barking and Dagenham 011D,1577,0.237,4,195.548,200.1824876,209.4514628,218.720438
E01000071,Barking and Dagenham 011E,1958,0.276,4,242.79200000000003,249.49305920000006,262.8951776,276.297296
E01000072,Barking and Dagenham 017E,1528,0.457,2,189.472,198.13087040000002,215.44861120000002,232.76635199999998
E01000073,Barking and Dagenham 012B,1343,0.415,2,166.532,173.443078,187.26523400000002,201.08739000000003
E01000074,Barking and Dagenham 012C,1270,0.39,2,157.48000000000002,163.62172,175.90516000000002,188.18860000000004
E01000075,Barking and Dagenham 012D,1524,0.305,3,188.976,194.739768,206.267304,217.79484000000002
E01000076,Barking and Dagenham 012E,1595,0.367,2,197.78,205.038526,219.55557800000003,234.07263
E01000077,Barking and Dagenham 008F,1281,0.406,2,158.84400000000002,165.29306640000001,178.1911992,191.08933200000004
E01000078,Barking and Dagenham 007B,1336,0.403,2,165.66400000000002,172.34025920000002,185.69277760000003,199.045296
E01000079,Barking and Dagenham 009E,1262,0.369,2,156.488,162.26240719999998,173.8112216,185.36003599999998
E01000080,Barking and Dagenham 007C,1317,0.345,3,163.308,168.942126,180.210378,191.47862999999998
E01000081,Barking and Dagenham 007D,1477,0.332,3,183.14800000000002,189.2285136,201.38954080000002,213.55056800000003
