pair,pearson_r,p_value,n
"Income score vs on-street EVSE count per 1,000 households",-0.05885831778646142,3.154989629453714e-05,4994
"Income score vs Sᵢᵉᶠᶠ per 1,000 households",-0.06387071354139043,6.268834349319125e-06,4994
