k,avg_candidates,status,solve_seconds,D0_weighted_mean_distance_m
30,30.0,Optimal,23.34588098526001,217.30708366493738
40,40.0,Optimal,38.96683382987976,279.80134793567316
50,50.0,Optimal,52.13311505317688,339.1145138563216
