location_id,zapmap_device_uid,power_band,device_max_power
A3M0VMM,AV29U7M,1. Slow,3000
PKHBUT5,SPMAHFY,1. Slow,3000
MH32TG4,SVQB5HA,1. Slow,3000
960Z48U,RP8GY27,1. Slow,3000
JWE50B4,0PBHI7G,1. Slow,3000
23QHJUW,REDM938,1. Slow,3000
3G5SPQR,IBH1VC7,1. Slow,3000
WPZFGSA,EZ8H7PG,1. Slow,3000
1NCQ0AM,C5DMFV8,1. Slow,3000
4JMR5NP,F956H01,1. Slow,3000
PQ8ZH0V,DMP0O3R,1. Slow,3000
LAEDWXY,G3VRYC6,1. Slow,3000
KCD3QHP,8ASTYTA,1. Slow,3000
23QHJUW,DYG7MPF,1. Slow,3000
PQ8ZH0V,7LE30YO,1. Slow,3000
1NCQ0AM,N3FCTW6,1. Slow,3000
2Y6N0MY,8LRDDM4,1. Slow,3000
A3M0VMM,ANZ11KI,1. Slow,3000
X6SPTBY,H7SGKRU,1. Slow,3000
KCD3QHP,7GNCTZI,1. Slow,3000
DATQ3RG,IO5689V,1. Slow,3000
4XAF6OJ,W5VQNOB,1. Slow,3000
RE3XA9U,ZLNYF0M,1. Slow,3000
8X6KJQ6,23GSEKU,1. Slow,3000
23QHJUW,RX7VUOG,1. Slow,3000
H7B6P30,X4IEVAO,1. Slow,3000
2NHJ6LJ,E7DCMJ3,1. Slow,3000
RE3XA9U,GCH30B9,1. Slow,3000
1AR9037,63MVYL0,1. Slow,3000
23QHJUW,6LO1Z48,1. Slow,3000
YFIJVX1,UFBKIR8,1. Slow,3000
K9W5NMQ,E7M8J4L,1. Slow,3000
XNDO03C,LHPA95I,1. Slow,3000
23QHJUW,1NOSHF4,1. Slow,3000
NF5D29M,DREGWBO,1. Slow,3000
A3M0VMM,3WD825Y,1. Slow,3000
WO42F3S,27HA0PL,1. Slow,3000
KCD3QHP,DO1AQ2V,1. Slow,3000
9UYYY6H,91KWI6N,1. Slow,3000
2Y6N0MY,7RSVXGP,1. Slow,3000
WO42F3S,ZGMD7V3,1. Slow,3000
2NHJ6LJ,8AJ6D9B,1. Slow,3000
KCD3QHP,585GDLV,1. Slow,3000
