evse_uid,total_duration_min,location_id,latitude,longitude,ur_j
0002729a6be20a87309637692e5a3af3,59.983333333333334,9JLEIZW,51.561156,-0.204882,0.0013885030864197532
0003081cf555fade0d74f080d8baa089,329.76666666666665,6OS0CX2,51.549931,-0.083314,0.007633487654320988
00060c5bdc07754065222530a5987345,42.59999995,I3PZ6W0,51.508186,-0.214374,0.0009861111099537037
0006d19497833bd0cf7067014cb425f8,2910.4999999666675,6N7MSGG,51.508998,-0.223006,0.0673726851844136
0007804415dd5bf2c01750f4bf0c4938,163.66666665,W4OHPVQ,51.555034,-0.049279,0.0037885802465277775
001255f66bcb442fa81d8e7fdbec81ab,1967.5666665166668,CGC40DA,51.499711,-0.101786,0.04554552468788581
0014281d23eb3143d5e1f14694da5c15,423.81666666666666,9LLQ7D9,51.414785,0.115767,0.00981057098765432
00148e07cfa8a4cbd221933febb2fd38,4207.566666666667,6F2HEVJ,51.516408,-0.057233,0.09739737654320987
0014c3c5ea538d037489601a829ca4e4,15158.833333116656,DSNM4O4,51.490885,-0.218366,0.35089891974807075
0018a3b83ba6ba9082186cc882add8e6,1165.6333333166667,AJ325BJ,51.530235,-0.048272,0.026982253086033952
0018bd049d0d872c0d7b85def2e14b1a,2562.583333333333,4T95R4M,51.518954,-0.070604,0.0593190586419753
00241415630776ed1bca11f78c82df4c,239.13333333333333,2F3084E,51.368971,-0.139885,0.005535493827160494
0027d823ec903cbb40dd077f6ec72335,831.1833333166667,GQN071T,51.468147,-0.197277,0.0192403549378858
002acee6d0fa407c902ddd20132f7af2,1973.61666665,VCTXC05,51.500214,-0.309412,0.04568557098726852
002ddbfa66fb5d366b547acda2a67a3e,6675.016666483333,4FPH5JE,51.488348,-0.395631,0.1545142746871142
002dfc3ca220f489d756772315e00dcd,361.15,A9YX6D9,51.440977,-0.212859,0.008359953703703703
003181f8cb709f00a9b4927651f9358b,1635.8499999833334,3TV2YR2,51.576501,0.046105,0.03786689814776235
0031f503dfac4a8da44c0481c01a0f5c,3042.8833332833333,BFSCUSI,51.501556,-0.050974,0.07043711419637345
003eae27861f44a1a95ee1b028dcc740,146.68333333333334,RLKDMRB,51.464253,-0.064402,0.0033954475308641974
003ffd7d594841d39eac3a58890aad90,1537.6666659500013,OWQKKUG,51.525235,-0.175674,0.03559413578587966
00409989dae3f11fa6792548e8b08c5b,2038.3999999833334,4A7EGKS,51.500206,-0.170552,0.04718518518479938
0046d6dacdd7ace11532e663548384d1,5628.56666655,1CNHJLP,51.596968,-0.396211,0.13029089505902777
004908e1f4b1008870b26a99208ae98a,635.0,1CSOKIK,51.422279,-0.106593,0.014699074074074074
004a66185707df32133afd046f9b8ba7,3124.9666666000003,ADCEBCI,51.609412,-0.277611,0.07233719135648149
005dcded131948d2a45cdbb00e6ca308,1340.0333333166668,RR9H8B5,51.48551,-0.21707,0.031019290123070992
00632fbe8c87ef8f6769aef42d6977be,11144.433333283332,RI26HW5,51.502842,-0.250078,0.2579729938260031
006612b2fe012057df7976d4d722f542,5105.899999683333,Q9C89WH,51.628227,-0.074864,0.11819212962229937
00669571a632eba8e383b38103f7a950,555.2833333166667,VLC402A,51.521742,0.024809,0.01285378086381173
006bb349cf4c4b53ed59ab9a0d7cce91,924.2833333166666,B44JSMK,51.581365,-0.185998,0.021395447530478392
006e62c9047facf55e5eac83f85e68d7,979.2166663666663,MQOEYIA,51.621972,-0.255685,0.02266705246219135
0074613a56b47f1b454c6d6c8d2e5d2a,1.1333333333333333,2IHLD43,51.516738,-0.017179,2.6234567901234566e-05
0074c7221c36f0069190bf99c1594459,3481.116666633333,WI6FSL4,51.50806,-0.224787,0.08058140432021604
00801b9e8be3495abed0b4fb42a0b5fb,1596.0166666500002,3VE3JWO,51.580735,-0.114869,0.03694483024652778
00801c05fee145b610f374d6ceebef82,974.5166666666667,6K2UWLS,51.568183,-0.068442,0.022558256172839505
00856af02fcf02e339acd8f00cb2b62d,1623.3000000000002,2W36GP1,51.498952,-0.022888,0.037576388888888895
008aed5ddb08a41272f77f032197de11,1014.0833333333333,29Z4QTD,51.487373,-0.012471,0.0234741512345679
