lsoa_code,e_i,D_A,IMD_i,london_income_decile,scenario,alpha,p,x_j,z_i,dbar_i_served
E01002225,0,133.5652597402597,0.089,9,C,0.3,5000,10.0,0.039782364,0.0
E01002269,0,131.3035714285714,0.11,9,C,0.3,5000,10.0,0.02919972,0.0
E01002322,0,130.67532467532462,0.125,9,C,0.3,5000,10.0,0.028763355,0.0
E01002368,0,119.3668831168831,0.417,2,C,0.3,5000,10.0,0.019535723,0.0
E01002559,0,128.66493506493504,0.363,3,C,0.3,5000,10.0,0.077101023,0.0
E01003737,0,129.67012987012984,0.153,8,C,0.3,5000,10.0,0.029095208,0.0
E01000260,0,118.3616883116883,0.271,5,C,0.3,5000,9.0,0.074040677,0.0
E01000375,0,119.11558441558438,0.206,7,C,0.3,5000,9.0,0.063003527,0.0
E01000696,0,123.76461038961038,0.034,10,C,0.3,5000,9.0,0.05213733,0.0
E01000713,0,117.35649350649348,0.085,9,C,0.3,5000,9.0,0.015294251,0.0
E01002948,0,144.37110389610385,0.2,7,D,0.5,5000,12.0,0.0050184285,0.0
E01000253,1,155.9290172957251,0.052,10,D,0.5,5000,11.0,0.012325828,0.0
E01001173,1,142.48636363636362,0.329,4,D,0.5,5000,11.0,0.047696888,0.0
E01001422,0,144.24545454545452,0.034,10,D,0.5,5000,11.0,0.012638136,0.0
E01002228,0,140.6016233766234,0.226,6,D,0.5,5000,11.0,0.074420048,0.0
E01002276,0,129.41883116883116,0.314,4,D,0.5,5000,11.0,0.032683476,0.0
E01004108,0,138.08863636363634,0.111,9,D,0.5,5000,11.0,0.0062360001,0.0
E01000099,0,121.125974025974,0.343,4,D,0.5,5000,10.0,0.07204444,0.0
E01000650,0,131.0522727272727,0.114,9,D,0.5,5000,10.0,0.049423203,0.0
E01001068,0,123.638961038961,0.191,7,D,0.5,5000,10.0,0.027837142,0.0
E01001071,0,124.51850649350646,0.154,8,D,0.5,5000,10.0,0.018122864,0.0
E01001412,0,117.6077922077922,0.299,5,D,0.5,5000,10.0,0.025993892,0.0
E01002225,0,133.5652597402597,0.089,9,D,0.5,5000,10.0,0.056146054,0.0
E01002307,0,117.85909090909088,0.28,5,D,0.5,5000,10.0,0.019971253,0.0
E01002369,0,120.74902597402594,0.237,6,D,0.5,5000,10.0,0.025039258,0.0
E01002380,0,124.51850649350646,0.284,5,D,0.5,5000,10.0,0.074009041,0.0
E01002386,0,122.88506493506492,0.157,8,D,0.5,5000,10.0,0.0064550949,0.0
E01002555,0,118.612987012987,0.234,6,D,0.5,5000,10.0,0.0061488663,0.0
E01002590,0,110.9483766233766,0.397,2,D,0.5,5000,10.0,0.0097433606,0.0
E01000030,0,99.5142857142857,0.419,2,D,0.5,5000,9.0,0.015404243,0.0
