scenario,alpha,p,K,U_j,k,status,runtime_seconds,reported_gap,distance_objective,penalised_objective,A_bar,A_bar_pct_change_vs_alpha0,absolute_mean_distance_m,D0_weighted_own_assignment_share,total_slack,slack_share_of_demand,n_lsoas_with_x_j_gt_0,maximum_x_j,assignment_sum_error,budget_error,maximum_capacity_violation,sensitivity_test,sensitivity_level
C,0.3,5000,6.583801942493538,150,40,Optimal,14.698955332976766,0.0,63914088.20884778,1750888557.9012291,2.290187392994716,,170.3535832005101,0.8471169133182466,213566.031682764,0.572621244132884,311,21.0,1.400000004814217e-08,0.0,5.000000001587068e-06,K,0.5K0
C,0.3,5000,13.167603884987075,150,40,Optimal,28.34002591704484,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,K,K0
C,0.3,5000,26.33520776997415,150,40,Optimal,162.17721354193054,0.01,116576785.4785199,247073069.82270947,2.3101641297264055,,312.1592806496395,0.7552229542484714,16520.447758652903,0.04429524337111898,1713,6.0,1.1000000021965661e-08,0.0,1.1434317457315046e-06,K,2K0
C,0.3,5000,13.167603884987075,50,40,Optimal,27.616523042088374,0.0,96552395.19313909,1124124725.5404592,2.297971512497227,,258.7093558678327,0.7925511854214873,130087.650288688,0.3487958809165057,694,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,U_j,50
C,0.3,5000,13.167603884987075,150,40,Optimal,27.877616749959998,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,U_j,150
C,0.3,5000,13.167603884987075,300,40,Optimal,26.728324709110893,0.0,96552395.19313909,1124124725.5402222,2.3001931611409954,,258.7093558678327,0.7925511854214873,130087.650288658,0.34879588091642527,704,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,U_j,300
C,0.3,5000,13.167603884987075,150,30,Optimal,20.920895333052613,0.0,72355521.08089398,1053265347.1521567,2.3031093772310576,,193.87646759198296,0.8163549605461053,135470.147398127,0.36322763378967277,716,10.0,1.2000000104706032e-08,0.0,4.9999999873762135e-06,k,30
C,0.3,5000,13.167603884987075,150,40,Optimal,29.099924709065817,0.0,96552395.19313909,1124124725.558074,2.2996701661621137,,258.7093558678327,0.7925511854214873,130087.65029091798,0.3487958809224848,707,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,k,40
C,0.3,5000,13.167603884987075,150,50,Optimal,34.94957529194653,0.0,117454179.90766996,1167860022.9156055,2.2962775071766646,,314.6211594465929,0.7761559917369018,126088.45271149802,0.33807308256631957,696,11.0,1.999999987845058e-08,0.0,4.9999999873762135e-06,k,50
